57619,SHROOM3,Q8TF72
23741,EID1,Q9Y6B2
90624,LYRM7,Q5U5X0
378,ARF4,P18085
54981,NMRK1,Q9NWW6
28985,MCTS1,Q9ULC4
1811,SLC26A3,P40879
1149,CIDEA,O60543
643836,ZFP62,Q8NB50
4735,SEPTIN2,Q15019
56311,ANKRD7,Q92527
9726,ZNF646,O15015
80273,GRPEL1,Q9HAV7
80213,TM2D3,Q9BRN9
4715,NDUFB9,Q9Y6M9
8853,ASAP2,O43150
2116,ETV2,O00321
9702,CEP57,Q86XR8
63931,MRPS14,O60783
78999,LRFN4,Q6PJG9
2289,FKBP5,Q13451
53335,BCL11A,Q9H165
10412,NSA2,O95478
64802,NMNAT1,Q9HAN9
79710,MORC4,Q8TE76
9925,ZBTB5,O15062
539,ATP5PO,P48047
231,AKR1B1,P15121
26010,SPATS2L,Q9NUQ6
256710,GLIPR1L1,Q6UWM5
6128,RPL6,Q02878
90843,TCEAL8,Q8IYN2
83658,DYNLRB1,Q9NP97
6932,TCF7,P36402
1478,CSTF2,P33240
26502,NARF,Q9UHQ1
5521,PPP2R2B,Q00005
1875,E2F5,Q15329
51719,CAB39,Q9Y376
2560,GABRB1,P18505
124590,USH1G,Q495M9
51187,RSL24D1,Q9UHA3
79027,ZNF655,Q8N720
3840,KPNA4,O00629
79817,MOB3B,Q86TA1
26034,IPCEF1,Q8WWN9
55052,MRPL20,Q9BYC9
2746,GLUD1,P00367
1207,CLNS1A,P54105
221823,PRPS1L1,P21108
154661,RUNDC3B,Q96NL0
114786,XKR4,Q5GH76
1939,EIF2D,P41214
4700,NDUFA6,P56556
53938,PPIL3,Q9H2H8
250,ALPP,P05187
9688,NUP93,Q8N1F7
153129,SLC38A9,Q8NBW4
54807,ZNF586,Q9NXT0
9767,JADE3,Q92613
3422,IDI1,Q13907
80224,NUBPL,Q8TB37
6155,RPL27,P61353
285755,PPIL6,Q8IXY8
7323,UBE2D3,P61077
55914,ERBIN,Q96RT1
7750,ZMYM2,Q9UBW7
64960,MRPS15,P82914
6360,CCL16,O15467
2267,FGL1,Q08830
6364,CCL20,P78556
4298,MLLT1,Q03111
2517,FUCA1,P04066
55515,ASIC4,Q96FT7
50640,PNPLA8,Q9NP80
525,ATP6V1B1,P15313
816,CAMK2B,Q13554
2712,GK2,Q14410
143471,PSMA8,Q8TAA3
22909,FAN1,Q9Y2M0
9867,PJA2,O43164
317701,VN1R2,Q8NFZ6
3930,LBR,Q14739
64801,ARV1,Q9H2C2
29902,FAM216A,Q8WUB2
55284,UBE2W,Q96B02
85365,ALG2,Q9H553
6191,RPS4X,P62701
80196,RNF34,Q969K3
55901,THSD1,Q9NS62
252983,STXBP4,Q6ZWJ1
54813,KLHL28,Q9NXS3
7881,KCNAB1,Q14722
63934,ZNF667,Q5HYK9
26973,CHORDC1,Q9UHD1
55266,TMEM19,Q96HH6
8724,SNX3,O60493
404217,CTXN1,P60606
56674,TMEM9B,Q9NQ34
22841,RAB11FIP2,Q7L804
144363,ETFRF1,Q6IPR1
5143,PDE4C,Q08493
64792,IFT22,Q9H7X7
10559,SLC35A1,P78382
112476,PRRT2,Q7Z6L0
9975,NR1D2,Q14995
22903,BTBD3,Q9Y2F9
488,ATP2A2,P16615
2846,LPAR4,Q99677
10855,HPSE,Q9Y251
157922,CAMSAP1,Q5T5Y3
3312,HSPA8,P11142
6194,RPS6,P62753
22887,FOXJ3,Q9UPW0
713,C1QB,P02746
114327,EFHC1,Q5JVL4
113510,HELQ,Q8TDG4
23013,SPEN,Q96T58
9902,MRC2,Q9UBG0
127795,C1orf87,Q8N0U7
60492,CCDC90B,Q9GZT6
126549,ANKLE1,Q8NAG6
6921,ELOC,Q15369
